frame_id,track_id,x,y,w,h,score,timestamp
11,30,337.3,54.2,36.7,94.1,0.83,1.0
12,30,340.0,48.6,39.4,96.6,0.95,1.1
13,30,343.1,46.0,41.3,97.6,0.91,1.2
14,30,341.1,52.4,39.8,95.2,0.87,1.3
15,30,339.6,47.8,43.3,101.3,0.91,1.4
16,30,342.7,51.2,39.4,101.1,0.86,1.5
17,30,342.3,48.9,41.0,98.3,0.91,1.6
18,30,345.1,48.9,43.8,97.7,0.91,1.7
19,30,345.4,44.1,40.1,99.0,0.97,1.8
20,30,352.7,47.5,38.5,94.3,0.86,1.9
21,1,520.2,40.0,34.6,92.3,0.93,2.0
21,30,350.5,48.7,40.2,95.2,0.98,2.0
22,1,520.7,42.2,37.9,90.6,0.86,2.1
22,30,351.3,49.4,35.5,98.6,0.9,2.1
23,1,517.3,40.6,39.2,92.0,0.88,2.2
23,30,347.2,50.4,42.0,96.8,0.93,2.2
24,1,518.3,38.3,39.9,95.1,0.87,2.3
24,30,356.0,49.2,35.1,94.3,0.82,2.3
25,1,519.3,41.5,37.5,92.1,0.95,2.4
25,30,360.0,44.4,36.6,99.4,0.88,2.4
26,1,522.0,38.1,38.9,94.4,0.99,2.5
26,30,357.1,49.5,36.0,93.8,0.83,2.5
27,1,520.6,41.1,33.1,90.9,0.84,2.6
27,30,354.8,51.1,34.6,93.8,0.9,2.6
28,1,518.8,42.3,38.5,92.0,0.85,2.7
28,30,346.3,48.2,43.3,97.8,0.98,2.7
29,1,520.1,41.1,35.5,90.9,0.84,2.8
29,30,363.6,51.8,35.3,95.5,0.84,2.8
30,1,517.1,38.6,37.5,95.1,0.99,2.9
30,30,370.3,50.6,37.8,94.8,0.94,2.9
31,1,518.9,41.1,39.4,92.5,0.84,3.0
31,10,866.4,126.1,51.6,124.9,0.89,3.0
31,30,358.4,53.2,40.5,95.1,0.85,3.0
32,1,516.5,36.5,39.8,96.7,0.91,3.1
32,10,868.3,124.7,52.5,123.0,0.88,3.1
32,30,367.2,45.9,35.2,92.2,0.98,3.1
33,1,519.5,42.6,36.5,90.6,0.84,3.2
33,10,868.3,124.2,52.2,124.2,0.95,3.2
33,30,371.5,45.3,42.5,98.5,0.83,3.2
34,1,521.9,37.0,34.4,96.2,0.9,3.3
34,10,871.2,127.3,45.2,122.0,0.89,3.3
34,30,362.6,40.2,43.3,98.7,0.83,3.3
35,1,519.3,44.6,39.1,88.4,0.93,3.4
35,10,875.2,128.1,42.4,120.7,0.87,3.4
35,30,375.6,42.6,35.2,97.1,0.93,3.4
36,1,516.5,37.8,42.8,95.8,0.82,3.5
36,10,868.2,128.2,49.9,122.7,0.84,3.5
36,11,827.6,145.5,53.7,128.5,0.94,3.5
36,30,366.5,54.4,38.2,92.2,0.95,3.5
37,1,518.1,38.8,34.8,93.7,0.82,3.6
37,10,864.5,124.8,52.4,124.8,0.9,3.6
37,11,826.9,149.0,48.8,128.0,0.94,3.6
37,30,382.0,47.5,36.0,94.1,0.83,3.6
38,1,519.1,39.1,36.6,93.0,0.88,3.7
38,10,866.1,124.6,52.1,124.1,0.94,3.7
38,11,829.1,145.0,54.4,129.4,0.89,3.7
38,30,371.3,47.7,41.7,95.6,0.84,3.7
39,1,520.7,44.7,31.8,90.0,0.88,3.8
39,10,866.1,128.3,51.4,123.6,0.97,3.8
39,11,833.2,146.3,48.8,129.1,0.91,3.8
39,30,379.2,41.0,35.7,94.4,0.9,3.8
40,1,515.2,40.9,41.4,93.2,0.88,3.9
40,10,865.3,127.3,52.2,123.6,0.87,3.9
40,11,833.1,150.6,46.9,125.4,0.85,3.9
40,30,369.3,45.9,36.0,94.6,0.91,3.9
41,1,517.4,39.5,35.6,93.1,0.88,4.0
41,10,871.6,123.9,43.9,123.1,0.98,4.0
41,11,831.1,144.6,46.5,128.9,0.86,4.0
41,12,837.8,128.8,45.7,122.9,0.83,4.0
41,20,309.3,94.2,51.1,117.4,0.93,4.0
41,21,1080.6,105.0,44.1,115.1,0.92,4.0
41,30,380.5,45.5,41.4,94.9,0.95,4.0
42,1,518.2,41.0,39.4,92.6,0.8,4.1
42,10,868.1,125.4,51.8,121.6,0.96,4.1
42,11,826.8,151.8,55.1,125.5,0.99,4.1
42,12,834.7,131.9,43.3,121.7,0.9,4.1
42,20,304.0,105.7,46.6,114.1,0.89,4.1
42,21,1081.7,95.5,49.4,116.0,0.95,4.1
42,30,381.2,48.5,39.5,93.8,0.87,4.1
43,1,519.9,39.4,37.8,94.4,0.9,4.2
43,10,868.2,126.9,52.2,121.8,0.94,4.2
43,11,826.0,147.7,55.0,128.7,0.94,4.2
43,12,836.4,128.5,48.6,123.3,0.86,4.2
43,20,308.7,103.8,43.1,111.3,0.96,4.2
43,21,1073.1,103.5,41.8,113.2,0.86,4.2
43,30,387.8,47.0,35.2,93.3,0.84,4.2
44,1,516.3,37.3,42.7,95.0,0.8,4.3
44,10,869.7,128.4,46.4,118.9,0.94,4.3
44,11,823.5,147.8,57.2,129.3,0.95,4.3
44,12,828.4,128.4,53.6,121.4,0.88,4.3
44,20,309.8,102.3,44.7,115.5,0.92,4.3
44,21,1077.6,103.9,44.3,114.0,0.92,4.3
44,30,383.1,43.7,40.4,95.8,0.91,4.3
45,1,522.0,38.9,35.1,93.7,0.91,4.4
45,10,870.3,128.5,46.0,123.0,0.82,4.4
45,11,828.8,143.8,53.6,129.2,0.89,4.4
45,12,831.0,125.5,45.2,125.4,0.84,4.4
45,20,307.2,101.9,45.3,116.2,0.92,4.4
45,21,1068.7,104.0,44.9,112.5,0.92,4.4
45,30,385.7,44.5,39.0,91.0,0.91,4.4
46,1,515.8,39.6,41.3,92.0,0.95,4.5
46,10,865.5,129.9,50.9,118.8,0.94,4.5
46,11,827.8,148.8,52.9,128.7,0.88,4.5
46,12,828.5,130.5,52.1,119.9,0.87,4.5
46,13,861.2,137.9,52.3,124.8,0.86,4.5
46,20,313.7,100.0,46.1,116.0,0.93,4.5
46,21,1066.2,101.2,47.9,114.9,0.95,4.5
46,30,390.6,47.5,38.0,90.6,0.82,4.5
47,1,516.7,39.1,39.0,94.3,0.79,4.6
47,10,872.4,128.4,43.3,122.3,0.94,4.6
47,11,824.8,142.6,53.9,130.8,0.97,4.6
47,12,835.9,126.0,43.6,121.1,0.89,4.6
47,13,861.8,139.8,44.7,126.5,0.94,4.6
47,20,316.3,102.7,45.9,115.2,0.93,4.6
47,21,1066.5,105.3,50.3,114.6,0.88,4.6
47,30,386.8,42.9,37.8,94.6,0.84,4.6
48,1,520.4,38.7,35.2,95.0,0.93,4.7
48,10,860.0,132.0,54.6,121.8,0.91,4.7
48,11,830.4,149.0,48.4,130.9,0.93,4.7
48,12,830.4,125.8,47.2,124.2,0.89,4.7
48,13,859.4,144.1,53.0,126.8,0.93,4.7
48,20,320.4,106.1,40.3,114.3,0.99,4.7
48,21,1069.1,100.4,40.9,112.8,0.96,4.7
48,30,382.0,42.2,42.5,96.2,0.83,4.7
49,1,519.9,41.5,34.8,91.5,0.94,4.8
49,10,868.1,126.5,52.2,124.6,0.89,4.8
49,11,826.8,148.8,52.8,127.9,0.88,4.8
49,12,832.8,130.7,48.1,119.4,0.91,4.8
49,13,857.2,144.8,51.9,127.3,0.86,4.8
49,20,329.7,100.9,42.6,112.7,0.89,4.8
49,21,1063.0,99.7,46.8,114.1,0.94,4.8
49,30,394.4,39.3,35.0,97.3,0.92,4.8
50,1,517.8,36.2,43.2,96.2,0.89,4.9
50,10,868.9,125.2,47.3,121.1,0.9,4.9
50,11,831.6,146.0,47.7,128.3,0.93,4.9
50,12,833.5,129.2,45.8,120.4,0.94,4.9
50,13,858.0,142.3,53.4,123.7,0.79,4.9
50,20,328.1,100.5,48.7,116.4,0.9,4.9
50,21,1057.8,103.8,46.2,116.1,0.78,4.9
50,30,394.9,42.1,39.3,95.0,0.89,4.9
51,1,521.5,37.5,35.6,94.5,0.84,5.0
51,2,339.9,175.0,53.7,137.9,0.99,5.0
51,10,868.3,127.6,52.5,121.1,0.87,5.0
51,11,832.5,148.2,45.5,126.4,0.91,5.0
51,12,831.0,128.6,45.1,121.5,0.89,5.0
51,13,859.2,139.0,57.1,130.3,0.83,5.0
51,14,855.3,117.1,42.1,115.8,0.93,5.0
51,20,325.8,104.7,46.3,113.8,0.81,5.0
51,21,1066.4,99.4,42.1,114.0,0.9,5.0
51,30,386.4,45.3,35.8,96.0,0.98,5.0
52,1,518.7,38.4,38.1,93.9,0.9,5.1
52,2,340.6,176.6,55.3,138.2,0.86,5.1
52,10,871.5,127.6,45.6,121.8,0.86,5.1
52,11,825.7,143.5,56.8,128.7,0.98,5.1
52,12,829.2,125.5,54.6,124.9,0.85,5.1
52,13,860.9,141.3,52.7,124.6,0.92,5.1
52,14,856.6,113.5,51.3,117.6,0.89,5.1
52,20,327.4,98.8,46.9,113.2,0.86,5.1
52,21,1062.2,105.2,42.9,114.9,0.88,5.1
52,30,394.8,45.8,35.3,93.9,0.9,5.1
53,1,517.6,39.6,36.7,93.8,0.97,5.2
53,2,334.6,179.4,61.6,141.7,0.98,5.2
53,10,869.1,125.2,48.9,123.1,0.93,5.2
53,11,825.4,146.5,58.7,131.0,0.86,5.2
